row,zipcode,state,lat,long
4693,95834,CA,38.64,-121.54
4694,95834,CA,38.64,-121.54
4695,95834,CA,38.64,-121.54
4696,95835,CA,38.69,-121.56
4697,95843,CA,38.71,-121.36
4698,95864,CA,38.58,-121.37
4699,95901,CA,39.15,-121.47
4700,95928,CA,39.71,-121.81
4701,95946,CA,39.18,-121.2
4702,95954,CA,39.84,-121.6
4703,95954,CA,39.84,-121.6
4704,95961,CA,39.08,-121.55
4705,95965,CA,39.5,-121.67
4706,96001,CA,40.6,-122.46
4707,96002,CA,40.52,-122.32
4708,96003,CA,40.68,-122.25
4709,96003,CA,40.68,-122.25
4710,96143,CA,39.24,-120.04
4711,96150,CA,38.84,-120.01
4712,96158,CA,38.92,-119.96
4713,96271,AP,NA,NA
4717,97005,OR,45.49,-122.8
4718,97005,OR,45.49,-122.8
4719,97005,OR,45.49,-122.8
4720,97006,OR,45.52,-122.85
4721,97006,OR,45.52,-122.85
4722,97006,OR,45.52,-122.85
4723,97006,OR,45.52,-122.85
4724,97007,OR,45.44,-122.88
4725,97007,OR,45.44,-122.88
4726,97007,OR,45.44,-122.88
4727,97008,OR,45.45,-122.79
4728,97008,OR,45.45,-122.79
4729,97008,OR,45.45,-122.79
4730,97008,OR,45.45,-122.79
4731,97008,OR,45.45,-122.79
4732,97008,OR,45.45,-122.79
4733,97009,OR,45.42,-122.37
4734,97013,OR,45.21,-122.66
4735,97015,OR,45.41,-122.49
4736,97015,OR,45.41,-122.49
4737,97015,OR,45.41,-122.49
4738,97023,OR,45.2,-122.06
4739,97027,OR,45.38,-122.59
4740,97030,OR,45.5,-122.43
4741,97030,OR,45.5,-122.43
4742,97030,OR,45.5,-122.43
4743,97030,OR,45.5,-122.43
4744,97031,OR,45.61,-121.58
4745,97035,OR,45.41,-122.72
4746,97035,OR,45.41,-122.72
4747,97041,OR,45.43,-121.63
4748,97045,OR,45.32,-122.52
4749,97045,OR,45.32,-122.52
4750,97045,OR,45.32,-122.52
4751,97045,OR,45.32,-122.52
4752,97045,OR,45.32,-122.52
4753,97048,OR,46.04,-122.98
4754,97049,OR,45.36,-121.85
4755,97051,OR,45.88,-122.92
4756,97055,OR,45.38,-122.23
4757,97055,OR,45.38,-122.23
4758,97056,OR,45.8,-122.97
4759,97058,OR,45.54,-121.15
4760,97062,OR,45.36,-122.75
4761,97062,OR,45.36,-122.75
4762,97067,OR,45.3,-121.95
4763,97068,OR,45.34,-122.66
4764,97071,OR,45.13,-122.82
4765,97078,OR,45.48,-122.8
4766,97078,OR,45.48,-122.8
4767,97080,OR,45.47,-122.37
4768,97080,OR,45.47,-122.37
4769,97080,OR,45.47,-122.37
4770,97086,OR,45.44,-122.52
4771,97086,OR,45.44,-122.52
4772,97086,OR,45.44,-122.52
4773,97089,OR,45.42,-122.45
4774,97089,OR,45.42,-122.45
4775,97089,OR,45.42,-122.45
4776,97089,OR,45.42,-122.45
4777,97113,OR,45.52,-123.04
4778,97123,OR,45.44,-122.96
4779,97123,OR,45.44,-122.96
4780,97124,OR,45.58,-122.91
4781,97127,OR,45.24,-123.11
4782,97128,OR,45.19,-123.24
4783,97128,OR,45.19,-123.24
4784,97128,OR,45.19,-123.24
4785,97203,OR,45.61,-122.74
4786,97206,OR,45.48,-122.6
4787,97211,OR,45.57,-122.62
4788,97211,OR,45.57,-122.62
4789,97217,OR,45.58,-122.7
4790,97217,OR,45.58,-122.7
4791,97219,OR,45.45,-122.69
4792,97219,OR,45.45,-122.69
4793,97219,OR,45.45,-122.69
4794,97220,OR,45.55,-122.56
4795,97220,OR,45.55,-122.56
4796,97222,OR,45.44,-122.61
4797,97222,OR,45.44,-122.61
4798,97222,OR,45.44,-122.61
4799,97223,OR,45.44,-122.76
4800,97223,OR,45.44,-122.76
4801,97223,OR,45.44,-122.76
4802,97223,OR,45.44,-122.76
4803,97223,OR,45.44,-122.76
4804,97229,OR,45.55,-122.81
4805,97229,OR,45.55,-122.81
4806,97230,OR,45.54,-122.5
4807,97233,OR,45.51,-122.49
4808,97302,OR,44.9,-123.06
4809,97303,OR,45.01,-123.01
4810,97305,OR,45.01,-122.91
4811,97306,OR,44.84,-123.08
4812,97321,OR,44.62,-123.13
4813,97322,OR,44.63,-123
4814,97322,OR,44.63,-123
4815,97330,OR,44.63,-123.27
4816,97330,OR,44.63,-123.27
4817,97330,OR,44.63,-123.27
4818,97338,OR,44.92,-123.34
4819,97338,OR,44.92,-123.34
4820,97352,OR,44.75,-123.04
4821,97378,OR,45.1,-123.42
4822,97401,OR,44.06,-123.08
4823,97401,OR,44.06,-123.08
4824,97401,OR,44.06,-123.08
4825,97401,OR,44.06,-123.08
4826,97402,OR,44.04,-123.22
4827,97404,OR,44.1,-123.13
